SNo.,Investor Name,Domain Name,Overview,Founded Year,Country,State,City,Description,Investor Type,Practice Areas,Feed Name,Business Models,Investment Score,Website,LinkedIn,Twitter
17,Mitsubishi UFJ Capital,mucap.co.jp,"Corporate-backed venture capital firm focused on AI, energy, and multiple sectors",1974,"Japan,; Japan,; Japan","Tokyo,; Osaka,; Aichi","Tokyo,; Osaka,; Nagoya",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,54.95680654259999,https://www.mucap.co.jp,https://linkedin.com/company/mitsubishi-hc-capital-malaysia-sdn-bhd,
21,SMBC Venture Capital,smbc-vc.co.jp,Venture capital fund focused on investing in early-stage startups,1992,"Japan,; Japan","Tokyo,; Osaka","Chuo City,; Osaka","Venture capital fund focused on investing in early-stage startups. Early-stage corporate venture capital firm investing in multiple sectors. The firm actively invests in tech sectors which include SaaS, artificial intelligence, fintech, and ad tech. It also invests in life-sciences sectors such as biopharma and biotech.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.15423994835,https://www.smbc-vc.co.jp,,
28,Beenext,beenext.com,Early-stage venture capital fund,2015,Singapore,Singapore,Singapore,Early-stage venture capital fund. Its focused on industry-agnostic which enables them to tap into the diverse pool of founders.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,82.1419892966,https://www.beenext.com/,https://linkedin.com/company/beenext-com,https://twitter.com/beenextvc
30,East Ventures,east.vc,Venture capital fund focused on early-stage startups,2009,"Japan,; Singapore,; Indonesia","Tokyo,; Singapore,; Jakarta","Tokyo,; Singapore,; Jakarta",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Micro VCs,71.2062988743,https://east.vc,https://linkedin.com/company/eastventures,http://twitter.com/eastventures
32,SBI Investment,sbinvestment.co.jp,Venture capital investment fund,1996,Japan,Tokyo,Minato City,"Venture capital investment fund. It t operates and manages venture capital funds under the management philosophy of becoming a leading company that will create and develop core industries. It handles a variety of internet financial services such as banking, securities, and insurance, it support the business development and growth of unlisted venture companies through fund investments.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,57.99266880315,https://www.sbinvestment.co.jp,https://linkedin.com/company/sbi-investment,
33,Pitango,pitango.com,"Venture capital firm focused on foodtech, adtech, healthtech, and multiple sectors",1993,Israel,Tel Aviv,Herzliya,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,62.69567224015,https://www.pitango.com/,https://linkedin.com/company/pitango-vc,https://twitter.com/pitango
34,Global Brain,globalbrains.com,"Venture capital fund and accelerator focused on blockchain, SaaS, fintech, space, media, and multiple sectors",1998,Japan,Tokyo,Shibuya,"Venture capital fund and accelerator focused on blockchain, SaaS, fintech, space, media, and multiple sectors. They provide support for startups through strategy design, driving collaborations, product development, planning sales strategy, marketing, PR, building business infrastructure, and exit strategies.",Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Specialized > Industry Focused > Multi-Sector",63.40815999720001,https://globalbrains.com/en,https://linkedin.com/company/globalbrain,https://twitter.com/globalbrains_jp
36,Gobi Partners,gobi.vc,Venture capital firm investing in early-stage tech startups,2002,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,Venture capital firm investing in early-stage tech startups. Focused on investing across multiple sectors.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,75.77041496765001,https://gobi.vc,https://linkedin.com/company/gobipartners,https://twitter.com/gobipartners
39,500 Global,500.co,Venture capital and accelerator firm focused on tech startups,2010,"Vietnam,; United States","Ho Chi Minh City,; California","Ho Chi Minh City,; San Francisco","Venture capital and accelerator firm focused on tech startups. Sector and geography-agnostic accelerator and venture capital firm that focuses on investing in technology startups in multiple sectors like health tech, consumer tech, gaming, sports, and more.",Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Sector Agnostic > Startup Studio",59.409744735450005,https://500.co,https://linkedin.com/company/500global,https://twitter.com/500globalvc
41,SBVA,sbvacorp.com,Early-stage venture capital arm of SoftBank Group,2000,South Korea,Seoul,Seoul,Early-stage venture capital arm of SoftBank Group. It invests in early to growth-stage startups.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,80.7089175828,https://sbvacorp.com/ko,https://linkedin.com/company/sbva,
45,KB Investment,kbic.co.kr,Venture capital fund investing in early-stage tech startups,1990,South Korea,Seoul,Seoul,Venture capital fund investing in early-stage tech startups. Focused on investing across multiple sectors.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,69.94519256595,http://www.kbic.co.kr,https://linkedin.com/company/kb-investment,
46,Korea Investment Holdings,koreainvestment.com,,2003,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,"Venture Capital Funds,; Investment Banks","Venture Capital Funds > Independent Funds,; Investment Banks > IBs",54.803141856450004,https://koreainvestment.com,https://linkedin.com/company/korea-investment-&-securities-co.-ltd,
50,Jungle Ventures,jungle.vc,Venture capital fund,2011,Singapore,Singapore,Singapore,Venture capital fund. It is focused on multiple sectors.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,83.28509345775001,https://www.jungle.vc/,https://linkedin.com/company/jungle-ventures,https://twitter.com/jungleventures
52,OurCrowd,ourcrowd.com,"Network connecting investors to startups, venture capital funds, and alternatives",2013,Israel,Jerusalem District,Jerusalem,"Network connecting investors to startups, venture capital funds, and alternatives. It provides a platform for individuals to access and invest in pre-vetted startups and venture funds. The network facilitates portfolio diversification across private equity, private credit, and other alternative asset classes. It offers opportunities for corporate investing and startup incubation.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,86.40083128974999,https://www.ourcrowd.com,https://linkedin.com/company/ourcrowd-llc,https://twitter.com/ourcrowd
54,Mizuho Capital,mizuho-vc.co.jp,Invests in Japan,1983,"Japan,; Japan","Tokyo,; Osaka","Chiyoda City,; Osaka",,Institutional Investor,,,,59.8020195098,https://www.mizuho-vc.co.jp,https://linkedin.com/company/%E3%81%BF%E3%81%9A%E3%81%BB%E3%82%AD%E3%83%A3%E3%83%94%E3%82%BF%E3%83%AB%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,
63,Globis Capital Partners,globiscapital.co.jp,"Corporate-backed venture capital firm focused on fintech, Adtech, and multiple sectors",1996,Japan,Tokyo,Chiyoda City,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,65.20356745400001,https://www.globiscapital.co.jp/en,https://linkedin.com/company/globis-capital-partners,https://twitter.com/globis_pr
67,Nissay Capital,nissay-cap.co.jp,"Venture capital firm investing in biotech, adtech sectors",1991,Japan,Tokyo,Chiyoda City,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,56.14716792635001,https://www.nissay-cap.co.jp,https://linkedin.com/company/%E3%83%8B%E3%83%83%E3%82%BB%E3%82%A4%E3%83%BB%E3%82%AD%E3%83%A3%E3%83%94%E3%82%BF%E3%83%AB%EF%BC%88%E6%A0%AA%EF%BC%89,
71,Wavemaker Partners,wavemaker.vc,Venture capital firm focused on early-stage tech companies,2003,"United States,; Singapore,; United States","California,; Singapore,; California","Los Angeles,; Singapore,; Santa Monica","Venture capital firm focused on early-stage tech companies. It empowers founders solving meaningful problems with unique, scalable, and defensible solutions.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,74.28294883334999,https://wavemaker.vc,https://linkedin.com/company/wavemakerpartners,http://twitter.com/wavemaker_vc
72,Viola Group,viola-group.com,Venture capital investment firm focuses on investing in early-stage technology companies,2000,Israel,Tel Aviv,Herzliya,"Venture capital investment firm focuses on investing in early-stage technology companies. It empowers early stage start-ups to become category leaders, focus on investing in global companies at expansion phase, offer multi-credit products to growing technology companies. It is a cross-stage venture fund that invests in global FinTech companies alongside leading venture investors. It brings together financial institutions and innovative startups to accelerate the modernization and digitization of financial institutions and support the growth of FinTech companies.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Growth Equity VCs,60.129929458999996,https://www.viola-group.com/,https://linkedin.com/company/viola-growth,https://twitter.com/violagroup
82,GMO Venture Partners,gmo-vp.com,Tech-focused early stage venture capital firm funding companies in the US and Asia,2005,Japan,Tokyo,Shibuya,"GMO Venture Partners is an early-stage venture capital firm. Geographies of interest include the US and Asia. Finances companies engaged in tech companies in sectors like Fintech, Online Retail and Mobile Technology. Notable portfolio companies include Mercari, Raksul, Money Forward, SanSan. The company claims to have $100M worth of assets under management.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,85.08567825015002,https://gmo-vp.com,https://linkedin.com/company/gmo-venturepartners-inc-,http://twitter.com/gmovp
93,DSC Investment,dscinvestment.com,Early-stage venture capital firm investing primarily in South Korea,2012,South Korea,Seoul,Seoul,"DSC Investment is an early stage venture capital firm. Invests in geographies like South Korea. Invests in multiple sectors like Mobile Technology, Medical devices, Wind Energy and Fintech. Top investments include Yellomobile, KakaoTalk, Coinplug.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,59.068507940800004,http://dscinvestment.com,,
95,Openspace Capital,openspacecapital.com,Openspace is a multi-strategy asset manager with a long-established specialist focus on Southeast Asia,2014,Singapore,Singapore,Singapore,Openspace is a multi-strategy asset manager with a long-established specialist focus on Southeast Asia.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,73.544322507,https://www.openspacecapital.com/,https://linkedin.com/company/openspacevc,
98,UTEC,ut-ec.co.jp,Seed and Early stage VC firm investing in Japan,2004,Japan,Tokyo,Tokyo,"The University of Tokyo Edge Capital (UTEC) is a venture capital firm that makes seed and early stage investments majorly in Japan. The firm invests across multiple sectors such as Diagnostics, AI, Fintech and Healthcare. Notable portfolio companies Laundroid, MediciNova, RaQualia, etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,63.424206321,https://www.ut-ec.co.jp,https://linkedin.com/company/utec,https://twitter.com/utec_official
104,Magma Venture Partners,magmavc.com,Micro VC firm investing in Isarel,1999,Israel,Tel Aviv,Tel Aviv,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Micro VCs,84.85355411340001,https://magmavc.com,https://linkedin.com/company/magma-venture-partners,https://twitter.com/magmaventure
105,JVP,jvpvc.com,Global venture capital firm building international category leaders in key tech sectors,1993,"Israel,; Israel,; United States","Jerusalem District,; South District,; New York","Jerusalem,; Be er Sheva,; New York City","Global venture capital firm building international category leaders in key tech sectors. The firm focuses on early and growth-stage investments, taking significant ownership positions to foster innovation and global expansion. With expertise in Cybersecurity, Enterprise Data & AI, FinTech, InsurTech, and ClimaTech, the firm cultivates ecosystems through Centers of Excellence, connecting strategic partners, academic institutions, and co-investors. The firm supports portfolio companies through product strategy, financing, recruitment, and global market entry, particularly in North America, leveraging its scale-up center. The firm aims to maximize value creation and long-term success for its portfolio companies. """,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,78.57517897950001,https://jvpvc.com,https://linkedin.com/company/jvp,http://twitter.com/jvpvc
108,Salesforce Ventures,salesforceventures.com,Corporate backed VC firm investing in early-stage tech startups,2009,"United States,; United Kingdom,; United States,; United States,; Japan","California,; England,; California,; New York,; Tokyo","San Francisco,; London,; San Diego,; New York City,; Tokyo","Corporate backed VC firm investing in early-stage tech startups. It offers patient capital, access to a strong network of industry leaders and Salesforce resources, and customized mentorship to help portfolio companies grow. The firm provides strategic partnerships, customer introductions, and early product feedback. Its investment strategy focuses on supporting founders throughout their growth journey, from seed funding to later stages. Mentorship from enterprise leaders and Salesforce executives is a key component of its support. The firm fosters a strong community among its portfolio companies.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,55.65931669285,https://salesforceventures.com,https://linkedin.com/company/salesforce-ventures,https://twitter.com/salesforcevc
115,INCJ,incj.co.jp,Private equity & venture capital firm,2009,Japan,Tokyo,Minato City,"INCJ is a private equity & venture capital firm. Seeks to invest in chemical, electronic device, industrial machinery, energy, transportation, consumer goods, retail (including service), healthcare, IT, business services, infrastructure (including service) and intellectual property sectors. Provides growth capital to portfolio companies.",Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,66.70632804275,https://www.incj.co.jp,https://linkedin.com/company/innovation-network-corporation-of-japan,
117,Atinum Investment,atinuminvest.co.kr,VC firm investing in geographies such as South Korea,1988,South Korea,Seoul,Seoul,"Atinum Investment is a venture capital firm. Makes investments in territories such as South Korea. Invests across sectors such as Biopharma, Battery and Information Technology. Notable investments include ExocoBio, Orange Power.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,82.59269065410001,https://www.atinuminvest.co.kr/,https://linkedin.com/company/atinum-investment,
118,Ntt Docomo Ventures,nttdocomo-v.com,NTT Group backed venture capital fund,1999,"Japan,; United States","Tokyo,; California","Minato,; Sunnyvale",,Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Captive Funds > Corporate VCs,; Accelerators & Incubators > Sector Agnostic > VC-Backed",64.2479654339,https://www.nttdocomo-v.com/,https://linkedin.com/company/nttdocomo-v,https://twitter.com/docomoventures
120,Insignia Ventures Partners,insignia.vc,Venture capital firm investing in multiple sectors,2017,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,71.42771736365,https://www.insignia.vc/,https://linkedin.com/company/insignia-ventures,https://twitter.com/insigniavc
135,DBJ Capital,dbj-cap.jp,"Venture capital firm focused on frontier tech, IT services, healthcare, and multiple sectors",2005,Japan,Tokyo,Chiyoda City,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,63.80312746145001,https://www.dbj-cap.jp/,https://linkedin.com/company/dbj-capital,
137,Entree Capital,entreecap.com,Venture capital firm focused on pre-seed to series C stage technology companies,2010,"United Kingdom,; United States,; Israel","England,; California,; Tel Aviv","London,; San Francisco,; Tel Aviv",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,72.60746523485001,https://entreecap.com,https://linkedin.com/company/entree-capital,http://twitter.com/entreecap
138,STRIVE,strive.vc,"VC fund investing in Japan, Southeast Asia and India",2011,Japan,Tokyo,Minato City,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.917076603,https://strive.vc,https://linkedin.com/company/strive-vc,https://twitter.com/strive_jp
145,Global Founders Capital,globalfounderscapital.com,Venture capital firm focused on early-stage startups,2003,Germany,Berlin,Berlin,Venture capital firm focused on early-stage startups. It backs companies from pre-seed and seed and throughout the lifecycle.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,83.7646711642,https://www.globalfounderscapital.com/,https://linkedin.com/company/global-founders-capital-apac,https://twitter.com/global_founders
147,RB Investments,rbworld.com,Venture capital fund focused on multi-stage tech-focused startups,2014,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Single Family Offices,84.4352130453,http://rbworld.com,https://linkedin.com/company/rb-investments,https://twitter.com/rbworldofficial
151,Shinhan Venture Investment,shinhanvc.com,Provider of a venture capital firm for various sectors,2000,South Korea,Seoul,Seoul,"Provider of a venture capital firm for various sectors. It provides users with a firm that focuses on investing in and supporting startups across various sectors, including bio, medical, and healthcare, fintech, and e-commerce.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,74.70107364270001,http://shinhanvc.com,,
152,Prosus,prosus.com,Venture capital firm investing in tech companies,1997,Netherlands,North Holland,Amsterdam,"Venture capital firm investing in tech companies. The corporation focused on the internet and technology industries. It builds long-term value by forming consumer internet businesses that address major societal issues, improve people's daily lives, and enrich the communities they serve.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,84.89008744445,https://www.prosus.com/,https://linkedin.com/company/prosusgroup,https://twitter.com/prosusgroup
153,SEEDS Capital,seedscapital.sg,Government-backed fund investing in tech startups,2001,Singapore,Singapore,Singapore,"Government-backed fund investing in tech startups. Invests in early-stage technology startups across agri-tech, artificial intelligence, blockchain, quantum computing, and space technologies sectors.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Public and Retail Funds,69.31421030930001,https://www.seedscapital.sg/,https://linkedin.com/company/seedscapitalsg,
155,Incubate Fund,incubatefund.com,Venture capital firm and accelerator focused on early-stage tech startups,2010,Japan,Tokyo,Minato City,Venture capital firm and accelerator focused on early-stage tech startups. Focused on investing in startups during their early stages over a long period of time. Thoroughly support entrepreneurs in raising the funds necessary for business growth so that they can focus on their business.,Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Sector Agnostic",69.66705918495,https://incubatefund.com,https://linkedin.com/company/incubate-fund,https://twitter.com/incubatefund
156,ANRI,anri.vc,Tech-focused VC investment company investing primarily in Japan,2012,Japan,Tokyo,Tokyo,"ANRI is a VC firm. Makes investments in territories such as Japan. Invests in tech focused companies operating in sectors like FinTech & EdTech. Top investments include Raksul, Coiney, Schoo, Hacosco, etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,59.3248707563,https://anri.vc/en,https://linkedin.com/company/anri-vc,https://twitter.com/anri_vc
157,Genesis Partners,genesispartners.com,Early stage VC Firm investing in Israel and the US,1996,Israel,Tel Aviv,Herzliya,"Genesis Partners is an Early stage venture capital firm investing in Israel and the US. The firm invests across multiple sectors such as SaaS, FinTech, Solar Energy, Biopharma, Telecom. The company manages $600M assets under management. Portfolio companies include SolarEdge Technologies, SiSense, Compugen, Resolute Networks. It has an accelerator named as The Junction.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,75.1470723598,https://genesispartners.com,https://linkedin.com/company/genesis-partners,
160,Alpha JWC Ventures,alphajwc.com,Tech focused VC firm making investment in seed and early stage companies in the US & Asia,2015,"Indonesia,; Singapore","Jakarta,; Singapore","Jakarta,; Singapore","Alpha JWC is a venture capital firm investing in seed and early stage companies in the US and Asia. It invests in tech startups operating in sectors such as SaaS, FinTech, eCommerce. Top investments include Tokopedia, aCommerce, Carro, Berrybenka, etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,68.8722725562,https://www.alphajwc.com/en/,https://linkedin.com/company/ajwc,http://twitter.com/ajwcv
161,Mitsui Sumitomo Insurance Venture Capital,msivc.co.jp,Japan focused seed to late stage VC firm,1990,Japan,Tokyo,Tokyo,"Mitsui Sumitomo Insurance is a seed to late stage venture capital firm that invests in Japan. Actively it invests in multiple sectors such as Therapeutics, Biotech, FinTech, Mobile Technology, Manufacturing industry. Notable portfolio companies are Metaps, Money Forward, BitFlyer, Jitsubo, etc. The firm has 1 billion yen under management.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,79.49742420890001,https://msivc.co.jp,,
162,Smile Gate Investment,smilegateinvestment.com,Private equity investment firm focused on buyouts,1999,South Korea,Seoul,Seoul,Private equity investment firm focused on buyouts. It provides users with a company that focuses on investing in small and mid-sized companies with strong growth potential.,Institutional Investor,Investment Industry,"Venture Capital Funds,; Private Equity Funds","Venture Capital Funds > Independent Funds > Conventional VCs,; Private Equity Funds > Buyout Funds",73.58267782904998,https://smilegateinvestment.com,https://linkedin.com/company/smilegate-investment,
173,MDI Ventures,mdi.vc,Corporate-backed venture capital fund,2015,"Indonesia,; United States,; Singapore","Jakarta,; California,; Singapore","Jakarta,; Los Angeles,; Singapore","Corporate-backed venture capital fund. It is focused on fintech, cloud computing, and other sectors.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,58.25204107585001,https://mdi.vc,https://linkedin.com/company/mdiventures,
175,FMO,fmo.nl,Provider of development financing for entrepreneurial ventures,1970,"Netherlands,; South Africa,; Kenya,; Costa Rica","South Holland,; Gauteng,; Nairobi County,; San Jose Province","The Hague,; Johannesburg,; Nairobi,; San Jose","Provider of development financing for entrepreneurial ventures. It invests in businesses across various sectors, including agribusiness, energy, and financial institutions, focusing on projects that create jobs, generate income, and improve lives in developing economies. The organization partners with other financiers to expand access to capital and open new markets. Its investment strategy prioritizes challenging projects with significant risk, leveraging its expertise and experience to drive impactful development. It offers resources and support to its investee companies, fostering sustainable growth and economic progress.",Institutional Investor,Investment Industry,"Private Equity Funds,; Private Debt Funds","Private Equity Funds > Growth Equity,; Private Debt Funds > Venture Debt",84.35869139245001,http://fmo.nl,https://linkedin.com/company/fmo,https://twitter.com/fmo_development
176,JIC Venture Growth Investments,j-vgi.co.jp,Venture capital fund focused on growth stage companies,2020,Japan,Tokyo,Minato City,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,77.3596791908,https://j-vgi.co.jp,,
181,Company K Partners,kpartners.co.kr,Venture capital firm investing in tech startups,2006,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,67.11292910569999,https://kpartners.co.kr/wordpress/,https://linkedin.com/company/company-k-partners,
182,Stonebridge Capital,stonebridge.co.kr,Early-stage tech and life sciences focused VC & PE firm,2008,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,"Venture Capital Funds,; Private Equity Funds","Venture Capital Funds > Independent Funds > Conventional VCs,; Private Equity Funds > Growth Equity",61.982024260200006,https://stonebridge.co.kr,https://linkedin.com/company/stonebridgecapital,
186,Kakao Ventures,kakao.vc,Venture capital fund focused on investing in IT startups,2012,South Korea,Gyeonggi-do,Seongnam-si,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,71.50349953060001,https://www.kakao.vc/,https://linkedin.com/company/kakao-ventures,https://twitter.com/kakaoventures
187,AC Ventures,acv.vc,Venture capital fund investing in tech sectors,2014,Indonesia,Jakarta,Jakarta,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,70.8713251342,https://acv.vc,https://linkedin.com/company/acventuresindonesia,https://twitter.com/acventures_id
188,InterVest,intervest.co.kr,VC firm based out of Korea,1999,South Korea,Seoul,Seoul,"InterVest is a VC firm based out of Korea focused on startups and early-stage business. Offers pre-initial public offering financing through mezzanine and bridge transactions. Focuses on biotechnology, healthcare, semiconductor, Fintech, block-chain, among other sectors.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,59.3421049767,https://intervest.co.kr,https://linkedin.com/company/intervest,
189,Vertex Ventures Israel,vertexventures.co.il,Tech focused early stage VC firm investing in Israel,1997,"Israel,; Israel","Center District,; Tel Aviv","Savyon,; Tel Aviv","Vertex Ventures Israel is an early stage venture capital firm investing in Israel. The firm focuses on technology start-ups engaged in the areas such as Cloud, Machine learning, IoT, Health Tech Security. Notable portfolio companies include Argus Security, Data Rails, DB Maestro, Dynamic Yield, Innoviz Technology. The firm claims to have $700 million of capital under management.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,87.99712330565,https://www.vertexventures.co.il/,https://linkedin.com/company/vertex-ventures-israel,https://twitter.com/vertexventures
190,Battery Ventures,battery.com,Private equity firm,1983,"United States,; United States,; United States,; United Kingdom,; United States,; Israel","Massachusetts,; California,; California,; England,; New York,; Tel Aviv","Boston,; San Francisco,; Menlo Park,; London,; New York City,; Tel Aviv","Private equity firm. It mainly invests in seed and growth-stage tech companies in multiple sectors including industrial tech, consumer, infrastructure and application software, and more. It also features multiple services including business development, marketing, recruiting, and more.",Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,55.7856785411,https://battery.com,https://linkedin.com/company/battery-ventures,https://twitter.com/batteryventures
191,Headline,headline.com,Venture capital firm investing in multiple sectors,1998,"United States,; Germany,; France,; Brazil,; Taiwan,; Japan,; Luxembourg,; Germany","California,; Berlin,; Ile de France,; State of Sao Paulo,; Taipei,; Tokyo,; Luxembourg,; Hamburg","San Francisco,; Berlin,; Paris,; Sao Paulo,; Taipei,; Tokyo,; Luxembourg,; Hamburg",Venture capital firm investing in multiple sectors. It mainly invests in early-stage tech startups.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,84.32889354565,https://headline.com,https://linkedin.com/company/headline-asia,https://twitter.com/headlinevc
193,Gemini,gemini.co.il,Seed & Early stage VC firm investing primarily in Israel & the US,1993,Israel,Tel Aviv,Herzliya,"Gemini Israel Ventures is a venture capital firm that invests in seed & early stage companies primarily in Israel & the US. It invests in multiple sectors such as Mobile, Digital Media, Medical Devices, Semiconductors. Notable portfolio companies include Outbrain, WalkMe, Oridion, ConteXtream. The firm claims to have $700M assets under management.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,69.05199144145,https://www.gemini.co.il/,https://linkedin.com/company/gemini-israel-ventures,http://twitter.com/geminivc
197,TLV Partners,tlv.partners,VC firm investing in early stage startups in Israel & the US,2015,Israel,Tel Aviv,Tel Aviv,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,80.01867182494999,https://www.tlv.partners/,https://linkedin.com/company/tlv-partners,http://twitter.com/tlv_partners
198,Golden Gate Ventures,goldengate.vc,Venture capital firm investing in Southeast Asian startups,2011,"Singapore,; Indonesia,; Vietnam,; Vietnam","Singapore,; Jakarta,; Hanoi,; Southeast","Singapore,; Jakarta,; Hanoi,; Ho Chi Minh City","Venture capital firm investing in Southeast Asian startups. It provides funding to early-stage and growing companies across various sectors. The firm offers support and guidance to its portfolio companies, helping them to scale and achieve their business goals. Its investment strategy focuses on identifying and backing high-potential businesses with strong management teams. The firm has a strong track record of successful investments in the region.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,73.54142073735,https://www.goldengate.vc/,https://linkedin.com/company/goldengateventures,https://twitter.com/goldengatevc
200,BRM,brm.com,"Seed and early stage tech and life sciences focused VC firm investing in Israel, the US and China",1988,Israel,Tel Aviv,Tel Aviv,"BRM Group is a seed & early stage venture capital firm. Invests in geographies like Israel, the US & China. Generally invests in tech and life sciences companies that are operating in sectors like FinTech, Mobile Technology, Medical Devices, Diagnostics. Top investments include eToro, EverythingMe, Rapid Medical, Glycominds.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,85.5006843311,https://www.brm.com/,https://linkedin.com/company/brm,
